ağzına sıçayım,a************m
am,a*
amı,a*ı
amın,a**n
amını,a***ı
amınız,a****z
amınızı,a*****ı
amınıza,a*****a
amına,a***a
amına koyarım,a***********m
amına koyayım,a***********m
amına koyduğum,a************m
amında,a****a
amından,a*****n
amcığı,a****ı
amcığın,a*****n
amcığını,a******ı
amcığına,a******ı
amcığında,a*******a
amcığından,a********n
amcık,a***k
amdan,a***n
amlar,a***r
amları,a****ı
ananı avradını,a************ı
ananı avradını sikerim,a********************m
ananı avradını sikeyim,a********************m
ananı bacını sikerim,b******************m
ananı bacını sikeyim,b******************m
ananı sikerim,a***********m
ananı sikeyim,a***********m
avradını sikerim,a**************m
avradını sikeyim,a**************m
bacını sikerim,b************m
bacını sikeyim,b************m
bok,b*k
bok ye,b****e
boklar,b****r
bokları,b*****ı
boklarımız,b********z
boklarımızı,b*********ı
boklarımızın,b**********n
boklarımıza,b*********a
boklarımızda,b**********a
bokların,b******n
boklarını,b*******ı
boklarının,b********n
boklarınızı,b*********ı
boklarında,b********a
boklarından,b*********n
boklara,b*****a
boklarda,b******a
boklardan,b*******n
boksun,b****n
bokta,b***a
boku,b**u
dübüründen,d********n
ebeni sikerim,e***********m
ebeni sikeyim,e***********m
göt,g*t
götünü,g****ü
götünü sikerim,g************m
götünü sikeyim,g************m
götünüz,g*****z
götünüzü,g******ü
götünüze,g******e
götünden sikeyim,g**************m
götüne,g****e
götsün,g****n
götsem,g****m
götsen,g****n
götveren,g******n
ibne,i**e
kaltağı,k*****ı
kaltak,k****k
lavuk,l***k
orospu,o****u
orospu çocuğu,o***********u
orospu evladı,o***********ı
pezevenk,p******k
piç,p*ç
piçe,p**e
piçi,p**i
piçler,p****r
piçlik,p****k
piçsen,p****n
piçsin,p****n
puşt,p**t
puşta,p***a
puştluk,p*****k
puştsan,p*****n
puştsun,p*****n
puştu,p***u
sürtüğü,s*****ü
sürtük,s****k
sıçarım,s*****m
sıçayım,s*****m
sıçtığım,s******m
sıçtığımın,s********m
sik,s*k
sike,s**e
siker,s***r
sikerim,s*****m
sikeriz,s*****z
sikerler,s******r
sikersin,s******n
sikeyim,s*****m
siki,s**i
sikik,s***k
sikim,s***m
sikime,s****e
sikimi,s****i
sikimin,s*****n
sikin,s***n
sikine,s****e
sikini,s****i
sikinin,s*****n
sikiyim,s*****m
siksin,s****n
sikti,s***i
siktiği,s****i
siktiğim,s******m
siktiğimin,s********n
siktiğimiz,s********z
siktiğin,s******n
siktiğiniz,s********z
siktik,s****k
siktikleri,s********i
siktim,s****m
siktin,s****n
siktir,s****r
yarak,y***k
yarrak,y****k
yavşak,y****k
