3P,3*
SM,**
一楼一,一*一
一楼一凤,一*一*
乜鸠,乜*
乳交,**
乸型,*型
仆你个臭街,**个**
仆你个街,**个*
仆晒街,**街
仆街,*街
仆街仔,**仔
仆街女,**女
今朝拮你箩柚,今朝****
他妈的,他*的
低B,低*
你卤味,你**
你好on9,你好**
你老味,你**
你老尾,你**
你老母,你**
做乜撚,做乜*
做乜撚嘢,做乜**
做乜撚野,做乜**
做咩撚,做咩*
八公,*公
八婆,*婆
兽交,**
冚家富贵,**富贵
冚家拎,**拎
冚家铲,**铲
冚家铲,***
口交,**
口爆,**
叫鸡,叫*
叫鸭,叫*
叼,*
叼你,*你
叼你老母,*你**
叼叼揈,**揈
叼尻,**
叼屄,**
叼揾你,**你
叼柒,**
叼那妈,***
含撚,含*
多鸠余,多*余
大撚镬,大*镬
大波,大*
大鸠镬,大**
契弟,*弟
好撚,好*
好撚柒,好**
好撚on9,好****
好on9,好**
妖,*
孤鸠寒,孤*寒
射精,**
小喇叭,小**
尻,*
屄,*
屌,*
屌你,*你
屌你老味,*你**
屌你老味,*你**
屌你老味閪,*你***
屌你老母,*你**
屌你老母臭閪,*你****
屌你老母閪,*你***
屌佢,**
屌尻,**
屌尻你,**你
屌尻爆你,***你
屌屄,**
屌屌揈,**揈
屌揾你,**你
屌柒,**
屌那妈,***
屌那星,**星
屎忽鬼,***
干你娘,**娘
废柴,*柴
懵盛盛,懵**
戆居,戆*
戆撚鸠,***
戆胶,**
戆鸠,**
戆鸠鸠,***
成嚿叉烧咁,成嚿*烧咁
扑晒街,**街
扑街,*街
扑街仔,**仔
扑街女,**女
扑野,**
打手枪,打**
打柒佢,**佢
打潜艇,打**
打靶仔,**仔
打飞机,打**
扯旗,**
把撚,**
拾下拾下,*下*下
指交,**
援交,**
援交妹,**妹
搅嘢,**
撚,*
撚屌,**
撚样,*样
撚野,**
操你妈,**妈
收爹,收*
收皮,收*
收皮,**
收皮啦,**啦
昂居,昂*
春袋,**
是尻但,是*但
是撚但,是*但
晏昼叼你屎忽,晏昼****
晏昼叼你屎忽窿,晏昼*****
晏昼屌你屎忽,晏昼****
晏昼屌你屎忽窿,晏昼*****
杂种,*种
条条揈,**揈
柒,*
柒头,*头
死柒头,**头
猪乸,**
猪兜,**
猪閪,**
玩撚完,玩*完
生仔冇屎忽,生仔***
生仔无屎忽,生仔***
生仔无屎窟,生仔***
痴撚线,**线
痴线,**
痴鸠线,**线
白鬼,白*
碌柒,碌*
笨柒,笨*
粉皮,**
粉肠,**
肏,*
肛交,**
脚交,**
臭屄,**
臭西,臭*
臭閪,臭*
茂里,*里
西头,*头
贱,*
贱格,*格
贱种,*种
贱精,*精
足交,**
躝坦,**
躝瘫,**
閪,*
閪头,*头
霎昂,*昂
顶你个肺,****
颜射,**
食屎,食*
食撚屎,食**
鸠,*
麻甩佬,**佬
黐孖筋,**筋
黐筋,*筋
黐脷筋,**筋
黑鬼,黑*
on9,**
up乜春,***
